2022-10-20 09:12:34.085 | WARNING  | __main__:<module>:195 - accuracy		mean:0.757	std:0.054
2022-10-20 09:12:34.087 | WARNING  | __main__:<module>:197 - precision		mean:0.792	std:0.1
2022-10-20 09:12:34.088 | WARNING  | __main__:<module>:199 - recall		mean:0.729	std:0.11
2022-10-20 09:12:34.089 | WARNING  | __main__:<module>:201 - f1		mean:0.748	std:0.057
2022-10-20 09:14:36.230 | INFO     | __main__:<module>:75 - 使用 互信息法 进行特征筛选
2022-10-20 09:14:36.992 | INFO     | __main__:<module>:125 - 使用 SMOTETomek 混合采样
2022-10-20 09:14:37.012 | INFO     | __main__:<module>:131 - 数据平衡前：非DPN组有389条,DPN组有485条
2022-10-20 09:14:37.014 | INFO     | __main__:<module>:132 - 数据平衡后：非DPN组有430条,DPN组有430条
2022-10-20 09:14:37.022 | INFO     | __main__:<module>:135 - 数据平衡前：非DPN组有101条,DPN组有118条
2022-10-20 09:14:37.024 | INFO     | __main__:<module>:136 - 数据平衡后：非DPN组有105条,DPN组有105条
2022-10-20 09:14:37.034 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:14:41.783 | WARNING  | __main__:<module>:186 - 0.857	0.818	0.9	0.857
2022-10-20 09:14:41.793 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:14:46.410 | WARNING  | __main__:<module>:186 - 0.857	0.818	0.9	0.857
2022-10-20 09:14:46.415 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:14:51.075 | WARNING  | __main__:<module>:186 - 0.571	0.545	0.6	0.571
2022-10-20 09:14:51.077 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:14:55.751 | WARNING  | __main__:<module>:186 - 0.619	0.6	0.6	0.6
2022-10-20 09:14:55.763 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:15:00.518 | WARNING  | __main__:<module>:186 - 0.714	0.667	0.8	0.727
2022-10-20 09:15:00.523 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:15:05.191 | WARNING  | __main__:<module>:186 - 0.571	0.625	0.455	0.526
2022-10-20 09:15:05.196 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:15:09.924 | WARNING  | __main__:<module>:186 - 0.81	0.889	0.727	0.8
2022-10-20 09:15:09.929 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:15:14.589 | WARNING  | __main__:<module>:186 - 0.81	0.889	0.727	0.8
